gid_B73	n_mu	mid	sids	fam	fam_size	fam_idx	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL_fc	eQTL_n	eQTL_grp_size	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d000045	2	mu1016510|mu1040153	UFMu-01558,UFMu-10832,UFMu-12110,UFMu-13360,UFMu-13669|UFMu-04164	Trihelix	46	1	NA	NA	moderate	missense_variant	FALSE	0	NA	NA	NA	NA	NA		5.2	3.1	10.1	3.7	7.6	5.2	5.3	5.3	13.2	6.1	9.4	12.2	9.4
Zm00001d000179	1	mu1009911	UFMu-00252	ERF	177	1	NA	NA	no_change	NA	FALSE	4	1	acti	NA	NA	NA		0.6	1.7	1.3	5.3	1.9	2.6	0.9	5.0	1.3	13.1	1.9	3.8	5.0
Zm00001d000358	2	mu1092558|mu1095208	UFMu-13720|UFMu-11173	ARF	36	1	NA	NA	non-syntenic	NA	FALSE	0	NA	NA	NA	NA	NA		6.2	6.9	10.5	22.1	13.1	45.3	3.5	9.2	2.7	19.9	7.8	18.7	9.2
Zm00001d001933	1	mu1076720	UFMu-09235	C3H	55	1	Zm00004b006005	One-to-One	modifier	3_prime_UTR_variant	FALSE	0	NA	NA	NA	NA	NA		52.1	55.5	47.8	23.5	37.2	31.3	43.3	49.3	68.7	35.8	39.2	31.8	68.7
Zm00001d001945	1	mu1021266	UFMu-01723	ARF	36	3	Zm00004b006017	One-to-One	high	frameshift_variant	FALSE	3	1	acti	NA	NA	NA		45.9	2.1	0.2	0.2	9.9	15.1	33.6	1.3	0.1	0.4	8.3	9.7	9.7
Zm00001d001952	1	mu1065444	UFMu-00649	C3H	55	2	Zm00004b006023	One-to-One	high	exon_loss_variant	FALSE	0	NA	NA	NA	NA	NA		20.6	10.0	27.3	17.0	22.5	19.1	25.5	8.1	28.4	22.4	25.9	19.8	8.1
Zm00001d002005	1	mu1038042	UFMu-04038	SBP	30	1	Zm00004b006064	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA	NA	NA	NA		0.0	0.0	0.0	0.9	0.0	1.4	0.1	0.0	0.0	2.1	0.0	0.6	2.1
Zm00001d002143	2	mu1008454|mu1018254	UFMu-00469|UFMu-00948	bZIP	128	1	Zm00004b006179	One-to-One	non-syntenic	start_lost	FALSE	2	1	acti	NA	NA	NA		1.9	1.9	9.8	5.2	17.3	5.4	3.9	17.0	22.7	20.1	86.9	13.1	86.9
Zm00001d002405	1	mu1047133	UFMu-06453	WRKY	121	1	Zm00004b006387	One-to-One	moderate	missense_variant	FALSE	3	1	acti	NA	NA	NA		2.1	1.6	43.7	11.6	27.6	11.8	11.2	1.7	34.7	10.2	27.8	14.4	34.7
Zm00001d002449	1	mu1047144	UFMu-06345	LFY	2	1	Zm00004b006425	One-to-One	moderate	missense_variant	FALSE	0	NA	NA	NA	NA	NA		0.9	0.2	0.1	0.0	0.0	1.9	0.7	0.4	0.0	0.9	0.0	0.6	0.9
Zm00001d002476	1	mu1040723	UFMu-04305	MYB	163	3	Zm00004b006448	One-to-One	moderate	missense_variant	FALSE	0	NA	NA	NA	NA	NA		0.0	0.0	14.7	2.8	4.4	0.8	0.0	0.0	0.7	5.9	5.2	1.1	5.9
Zm00001d002545	1	mu1040802	UFMu-04712	MYB_related	109	4	Zm00004b006514	One-to-One	moderate	missense_variant	FALSE	9	0.5555555555555556	mix	NA	NA	NA		11.6	17.9	23.3	1.6	1.6	1.5	0.4	3.2	2.2	3.1	1.1	0.6	3.2
Zm00001d002573	4	mu1035004|mu1037818|mu1044681|mu1066443	UFMu-03483|UFMu-03743|UFMu-05693|UFMu-08719	GRAS	81	2	Zm00004b006535	One-to-One	no_change	NA	FALSE	71	1	acti	NA	NA	NA		5.3	4.8	22.5	6.2	8.3	7.1	5.5	15.6	25.3	14.3	9.2	6.0	9.2
